Date,Adj Close,Close,High,Low,Open,Volume
2013-07-22,541.1400146484375,541.1400146484375,544.8300170898438,541.1400146484375,543.6599731445312,326000
2013-07-23,541.6400146484375,541.6400146484375,544.1300048828125,540.8599853515625,542.760009765625,307900
2013-07-24,543.5999755859375,543.5999755859375,544.0900268554688,541.5599975585938,543.4400024414062,358200
2013-07-25,541.9400024414062,541.9400024414062,545.489990234375,541.9400024414062,544.75,369400
2013-07-26,545.3099975585938,545.3099975585938,545.3300170898438,542.510009765625,543.8699951171875,326500
2013-07-29,540.97998046875,540.97998046875,547.6900024414062,540.97998046875,547.260009765625,347400
2013-07-30,546.4299926757812,546.4299926757812,546.4299926757812,542.6400146484375,542.8599853515625,366000
2013-07-31,554.3099975585938,554.3099975585938,554.6500244140625,547.780029296875,548.719970703125,354800
2013-08-01,549.52001953125,549.52001953125,557.7899780273438,549.52001953125,557.6799926757812,328000
2013-08-02,551.760009765625,551.760009765625,554.6500244140625,549.6699829101562,553.239990234375,336300
2013-08-05,556.5999755859375,556.5999755859375,556.9199829101562,553.3200073242188,553.6799926757812,342500
2013-08-06,557.3599853515625,557.3599853515625,558.9500122070312,554.97998046875,558.3800048828125,347100
2013-08-07,554.72998046875,554.72998046875,559.1400146484375,554.72998046875,556.9400024414062,352900
2013-08-08,555.2999877929688,555.2999877929688,558.010009765625,555.0599975585938,556.9299926757812,341200
2013-08-09,554.9299926757812,554.9299926757812,557.0999755859375,553.6500244140625,556.7899780273438,349800
2013-08-12,550.25,550.25,555.4600219726562,549.1300048828125,555.1500244140625,376500
2013-08-13,550.8499755859375,550.8499755859375,552.52001953125,548.510009765625,552.0599975585938,459800
2013-08-14,550.8699951171875,550.8699951171875,554.3800048828125,550.8699951171875,553.5999755859375,419700
2013-08-16,548.7899780273438,548.7899780273438,549.7899780273438,544.5999755859375,544.77001953125,397000
2013-08-19,550.489990234375,550.489990234375,551.219970703125,549.3499755859375,550.75,396200
2013-08-20,537.5700073242188,537.5700073242188,551.4600219726562,537.5599975585938,550.0,516300
2013-08-21,530.5399780273438,530.5399780273438,540.7100219726562,523.9299926757812,540.2100219726562,503900
2013-08-22,517.6400146484375,517.6400146484375,525.0599975585938,514.6400146484375,524.8699951171875,461300
2013-08-23,529.1900024414062,529.1900024414062,529.3800048828125,523.5499877929688,523.5499877929688,321600
2013-08-26,533.72998046875,533.72998046875,533.9099731445312,532.3699951171875,532.4299926757812,332500
2013-08-27,524.3900146484375,524.3900146484375,533.9400024414062,523.9199829101562,533.5,384900
2013-08-28,517.4400024414062,517.4400024414062,519.7999877929688,511.6499938964844,514.5900268554688,387600
2013-08-29,520.3699951171875,520.3699951171875,523.1900024414062,520.3599853515625,520.9299926757812,301600
2013-08-30,516.739990234375,516.739990234375,523.0399780273438,515.8300170898438,522.1099853515625,399600
2013-09-02,525.1799926757812,525.1799926757812,525.1900024414062,518.6199951171875,518.6199951171875,316000
2013-09-03,525.8900146484375,525.8900146484375,529.2000122070312,525.7000122070312,527.7100219726562,343800
2013-09-04,526.1599731445312,526.1599731445312,527.239990234375,525.22998046875,526.9500122070312,348300
2013-09-05,528.0599975585938,528.0599975585938,529.6699829101562,527.97998046875,529.1900024414062,351600
2013-09-06,523.77001953125,523.77001953125,530.1400146484375,523.030029296875,529.75,457600
2013-09-09,521.1099853515625,521.1099853515625,526.8499755859375,520.219970703125,526.6699829101562,469200
2013-09-10,523.1500244140625,523.1500244140625,524.22998046875,520.530029296875,523.8499755859375,317300
2013-09-11,529.3400268554688,529.3400268554688,529.3400268554688,526.280029296875,526.3800048828125,278300
2013-09-12,529.5800170898438,529.5800170898438,532.239990234375,527.6599731445312,530.8699951171875,290200
2013-09-13,530.8900146484375,530.8900146484375,531.760009765625,530.3400268554688,530.6900024414062,247200
2013-09-16,526.2000122070312,526.2000122070312,529.4000244140625,526.2000122070312,528.8400268554688,245500
2013-09-17,527.1099853515625,527.1099853515625,528.1699829101562,525.760009765625,527.5399780273438,221800
2013-09-23,527.0700073242188,527.0700073242188,529.97998046875,526.77001953125,528.9099731445312,258500
